svid,constellation_type,constellation_name,total_measurements,tracking_duration_sec,avg_cn0_dbhz,max_cn0_dbhz,min_cn0_dbhz
7,6,GALILEO,544,108.0,37.11084567799288,45.900001525878906,25.799999237060547
22,1,GPS,112,108.0,41.28660723141262,45.29999923706055,22.899999618530273
30,6,GALILEO,422,108.0,38.10497634670746,45.79999923706055,18.5
14,1,GPS,327,108.0,36.676146708497214,46.20000076293945,28.899999618530273
13,1,GPS,107,108.0,37.376635524714104,43.900001525878906,27.899999618530273
5,1,GPS,135,108.0,35.03703707942256,41.20000076293945,29.200000762939453
9,7,Unknown,319,108.0,30.29595609144731,39.20000076293945,5.010000228881836
21,5,BEIDOU,650,108.0,34.071076909578764,47.20000076293945,21.899999618530273
27,6,GALILEO,218,108.0,36.67522924755691,45.20000076293945,27.5
26,5,BEIDOU,218,108.0,37.98807326150597,46.79999923706055,28.200000762939453
8,3,GLONASS,200,108.0,30.529000062942504,42.900001525878906,17.600000381469727
11,3,GLONASS,109,108.0,41.63394494012955,46.400001525878906,37.79999923706055
29,6,GALILEO,286,108.0,34.04094416611678,46.900001525878906,5.010000228881836
10,5,BEIDOU,217,108.0,33.10967743341824,40.599998474121094,25.5
24,5,BEIDOU,110,108.0,34.22454560019753,39.900001525878906,27.200000762939453
1,3,GLONASS,108,108.0,29.680555573216193,38.29999923706055,23.600000381469727
12,3,GLONASS,109,108.0,34.66697248406366,42.0,32.79999923706055
19,6,GALILEO,123,107.001,24.485528480715868,31.399999618530273,5.010000228881836
17,1,GPS,107,107.0,30.202803620668217,38.70000076293945,26.600000381469727
